,collocate,raw_frequency,MI
292,sided,1,4.6744957714371544
293,craft,1,4.163670147671164
294,height,1,3.4705229671112185
295,roof,1,2.6376138441761143
296,slice,1,4.6744957714371544
297,study,1,3.6936665184254283
298,quietly,1,2.728585622381841
299,bore,1,3.4705229671112185
300,print,1,3.827197911049951
301,turns,1,5.7731080601052644
302,don,1,1.3071999414506803
303,luck,1,2.777375786551273
304,indicating,1,5.7731080601052644
305,mought,1,4.6744957714371544
306,appetite,1,5.079960879545319
307,nodding,1,4.163670147671164
308,feebly,1,5.7731080601052644
309,rank,1,4.6744957714371544
310,irelander,1,5.7731080601052644
311,canvas,1,3.827197911049951
312,hint,1,3.375212787306894
313,breeze,1,2.777375786551273
314,elated,1,5.7731080601052644
315,weakness,1,2.728585622381841
316,haggard,1,5.079960879545319
317,smile,1,2.5950542297573187
318,succeeded,1,3.375212787306894
319,embarrassed,1,4.386813698985374
320,neck,1,2.2766004986387838
321,prayers,1,3.4705229671112185
322,breathlessly,1,5.7731080601052644
323,excitement,1,3.6936665184254283
324,thigh,1,4.6744957714371544
325,passenger,1,4.163670147671164
326,brien,1,3.6936665184254283
327,pitched,1,3.981348590877209
328,bald,1,3.981348590877209
329,jewels,1,5.7731080601052644
330,flowery,1,5.7731080601052644
331,wreck,1,3.6936665184254283
332,sky,1,2.939894716049048
333,cooking,1,4.163670147671164
334,announced,1,4.386813698985374
335,remembered,1,2.515011522083782
336,share,1,3.065057859003054
337,cock,1,4.386813698985374
338,goo,1,5.7731080601052644
339,mortal,1,3.981348590877209
340,wonder,1,2.1355219003788783
341,stall,1,4.386813698985374
342,sheep,1,3.5758834827690444
343,mahogany,1,4.6744957714371544
344,fishes,1,5.079960879545319
345,mile,1,2.728585622381841
346,ter,1,5.7731080601052644
347,rats,1,4.386813698985374
348,thirty,1,3.4705229671112185
349,looks,1,2.5950542297573187
350,gettin,1,5.7731080601052644
351,leadin,1,5.7731080601052644
352,funny,1,4.386813698985374
353,enow,1,5.7731080601052644
354,reckon,1,2.515011522083782
355,treasure,1,1.6142249767455923
356,resign,1,4.386813698985374
357,revengeful,1,5.7731080601052644
358,thumb,1,4.386813698985374
359,expression,1,2.5950542297573187
360,quiet,1,2.40581223011879
361,reacted,1,5.7731080601052644
362,liver,1,5.7731080601052644
363,upside,1,5.7731080601052644
364,bless,1,3.2882014103172637
365,hid,1,3.981348590877209
366,frighten,1,4.386813698985374
367,anger,1,2.44090354993006
368,steering,1,3.981348590877209
369,mercy,1,3.2081587026437273
370,seat,1,3.1340507304900056
371,hailed,1,3.2882014103172637
372,scented,1,5.7731080601052644
373,flowering,1,4.386813698985374
374,shrubs,1,5.079960879545319
375,brow,1,3.2882014103172637
376,plateau,1,3.5758834827690444
377,farthest,1,5.7731080601052644
378,skeleton,1,3.1340507304900056
379,enveloped,1,5.7731080601052644
380,remains,1,3.6936665184254283
381,hauled,1,3.4705229671112185
382,birds,1,2.40581223011879
383,haul,1,4.163670147671164
384,pot,1,3.981348590877209
385,prospect,1,3.981348590877209
386,insects,1,5.079960879545319
387,dollars,1,5.079960879545319
388,boozy,1,5.7731080601052644
389,mug,1,5.7731080601052644
390,echo,1,3.981348590877209
391,sperrit,1,4.163670147671164
392,company,1,1.5536003549291575
393,conspicuous,1,3.981348590877209
394,flies,1,4.6744957714371544
395,settled,1,3.375212787306894
396,pounds,1,2.728585622381841
397,bargains,1,5.7731080601052644
398,excavation,1,4.386813698985374
399,bandage,1,4.386813698985374
400,spun,1,5.079960879545319
401,equalled,1,5.7731080601052644
402,thinks,1,3.375212787306894
403,journeys,1,5.7731080601052644
404,amassing,1,5.7731080601052644
405,cruelty,1,3.981348590877209
406,brings,1,3.5758834827690444
407,dooty,1,3.2081587026437273
408,bland,1,5.7731080601052644
409,obsequious,1,4.6744957714371544
410,voyage,1,3.375212787306894
411,34,1,5.7731080601052644
412,hardly,1,2.5950542297573187
413,hue,1,4.386813698985374
414,humane,1,5.7731080601052644
415,humoured,1,5.079960879545319
416,faces,1,2.515011522083782
417,stayed,1,3.6936665184254283
418,barons,1,5.7731080601052644
419,smock,1,5.079960879545319
420,lad,1,0.977317514508523
421,inches,1,4.6744957714371544
422,clipsby,1,3.5758834827690444
423,nance,1,5.7731080601052644
424,warrant,1,3.5758834827690444
425,fift,1,4.386813698985374
426,serve,1,2.939894716049048
427,shoe,1,4.6744957714371544
428,moat,1,2.1355219003788783
429,kettley,1,3.000519337865483
